"Programme / Group","Source Site","Host","Type","Document / Page Title","Year","URL"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","11 Districts of the Department | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/11-districts-department"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","357a","2026","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/357a.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","6870 76","2026","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/6870-76.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","About Us | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/about-us"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Accounts Branch | Department of Women and Child Development","2026","https://wcd.delhi.gov.in/wcd/accounts-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Achievements | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/achievements"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Acts & Rules | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/acts-rules"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","adharnotificationwidowandwdmscheme2022","2022","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/adharnotificationwidowandwdmscheme2022.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Admin Branch | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/admin-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Advertisement | Department of Women and Child Development","","https://wcd.delhi.gov.in/advertisement"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Bifurcation Notification | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/bifurcation-notification"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Capacity Building | Department of Women and Child Development","2024","https://wcd.delhi.gov.in/wcd/capacity-building"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Child Protection and Development Unit (CPDU & SCPS ) | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/child-protection-and-development-unit-cpdu-scps"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Citizen Charter | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/citizen-charter"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Contact Us | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/contact-us"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Delhi Grants Rules / Vac / Gia | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/delhi-grants-rules-vac-gia"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Delhi Lakhpati Bitiya Scheme | Department of Women and Child Development","2026","https://wcd.delhi.gov.in/wcd/delhi-ladli-schemes-2008"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Delhi Pension Scheme to Women in Distress (Widows, Divorced, Separated, Destitute, Abandoned Women) | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/delhi-pension-scheme-women-distress-widows-divorced-separated-destitute-abandoned-women"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","delhicommissionwomennotification2021","2021","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/delhicommissionwomennotification2021.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","delhipensionwomendistress2013 2","","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/delhipensionwomendistress2013_2.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","DoIT Universal Content | Department of Women and Child Development","","https://wcd.delhi.gov.in/doit/tab-content/poshan-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Education work for prevention of Atrocities on Women | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/education-work-prevention-atrocities-women"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Empowerment | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/empowerment"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Expantion/Construction of Working Women Hostle | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/expantionconstruction-working-women-hostle"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","FAQs | Department of Women and Child Development","","https://wcd.delhi.gov.in/faqs"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","faqwidowpensionscheme","","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/faqwidowpensionscheme.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","fas amendment gazette 396 widow","2017","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/fas_amendment_gazette_396_widow.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Gender Resource Centre Project | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/gender-resource-centre-project"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","GRANT IN AID SCHEMES | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/grant-aid-schemes-0"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Home | Department of Women and Child Development","","https://wcd.delhi.gov.in/"
"Delhi","WCD Delhi","delhi.gov.in","PDF","i4c handbook dos and don t final","","https://delhi.gov.in/sites/default/files/2025-04/i4c_handbook_dos_and_don_t_final.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Institute Licensing Act, 1956 | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/institute-licensing-act-1956-0"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Introduction of Voluntary Action Cell | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/introduction-voluntary-action-cell"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Juvenile Justic Act, 2000,2009 | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/juvenile-justic-act-20002009"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","listprotectionofficer2022 1","2022","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/listprotectionofficer2022_1.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Missing Children/Women Information | Department of Women and Child Development","2026","https://wcd.delhi.gov.in/wcd/missing-childrenwomen-information"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","nationalawardnarishakti2022 2","2022","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/nationalawardnarishakti2022_2.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Notifications | Department of Women and Child Development","","https://wcd.delhi.gov.in/notifications"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","odr2018841427","2018","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/odr2018841427.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Orders and Circulars | Department of Women and Child Development","2026","https://wcd.delhi.gov.in/circulars-orders"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Our Services | Department of Women and Child Development","","https://wcd.delhi.gov.in/our-services"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Photo Gallery | Department of Women and Child Development","2023","https://wcd.delhi.gov.in/photo-gallery"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","ppdf111","","https://wcd.delhi.gov.in/sites/default/files/WCD/ppdf111.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Pradhan Mantri Matru Vandana Yojana (PMMVY) | Department of Women and Child Development","2017","https://wcd.delhi.gov.in/wcd/pradhan-mantri-matru-vandana-yojana-pmmvy"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Preventive | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/preventive"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Print Media | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/print-media"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Protective | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/protective"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Recruitment and Results | Department of Women and Child Development","2025","https://wcd.delhi.gov.in/wcd/recruitment-and-results"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Recruitment Rules | Department of Women and Child Development","2025","https://wcd.delhi.gov.in/wcd/recruitment-rules"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","requireddocumentwidowpension 0","","https://wcd.delhi.gov.in/sites/default/files/WCD/our-services/requireddocumentwidowpension_0.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","RGO Branch | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/rgo-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","rgo branch doc","","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/rgo_branch_doc.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","RTEG Branch | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/rteg-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","RTI | Department of Women and Child Development","","https://wcd.delhi.gov.in/rti"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","SAKSHAM AW Services Scheme (ICDS BRANCH) | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/saksham-aw-services-scheme-icds-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Screen Reader Access | Department of Women and Child Development","","https://wcd.delhi.gov.in/screen-reader-access"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Seniority List | Department of Women and Child Development","2024","https://wcd.delhi.gov.in/wcd/seniority-list-0"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Services | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/services"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Settingup of Employment-cum-income generating unit | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/settingup-employment-cum-income-generating-unit"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Sitemap | Department of Women and Child Development","","https://wcd.delhi.gov.in/sitemap"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Support Training & Employment for Women | Department of Women and Child Development","","https://wcd.delhi.gov.in/scert/support-training-employment-women"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Tenders | Department of Women and Child Development","2025","https://wcd.delhi.gov.in/tenders"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","tenderwcd2022","2022","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/tenderwcd2022.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Transfer Orders | Department of Women and Child Development","2026","https://wcd.delhi.gov.in/doit/card-content/transfer-orders"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Useful Link | Department of Women and Child Development","","https://wcd.delhi.gov.in/useful-link"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","vac grant in aid 2021","2021","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/vac_grant_in_aid_2021.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","vac guidelines2021","2021","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/vac_guidelines2021.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Video Gallery | Department of Women and Child Development","2023","https://wcd.delhi.gov.in/video-gallery"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Vigilance Branch | Department of Women and Child Development","2026","https://wcd.delhi.gov.in/wcd/vigilance-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","wcil act 1956 form 1","","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/wcil_act_1956_form_1.pdf"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","What's New | Department of Women and Child Development","","https://wcd.delhi.gov.in/what-s-new"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Who is Who | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/who-who"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Who's Who | Department of Women and Child Development","","https://wcd.delhi.gov.in/who-is-who"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Women Empowerment Cell & Gender Resource Centre | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/women-empowerment-cell-gender-resource-centre"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PAGE","Women Welfare & Empowerment (WEC BRANCH) | Department of Women and Child Development","","https://wcd.delhi.gov.in/wcd/women-welfare-empowerment-wec-branch"
"Delhi","WCD Delhi","wcd.delhi.gov.in","PDF","womeninstitutions2022","2022","https://wcd.delhi.gov.in/sites/default/files/WCD/generic_multiple_files/womeninstitutions2022.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","1481749733334","2022","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/1481749733334.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","2441750228138","","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/2441750228138.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","2981749798394","2022","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/2981749798394.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","3121750227532","","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/3121750227532.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","4751765886133","","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/4751765886133.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","5571750228020","2023","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/5571750228020.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","6181749733352","","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/6181749733352.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","7111767254793","2025","https://missionshakti.wcd.gov.in/public/documents/whatsnew/7111767254793.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","874a0f9b 291f 4272 b22d 4126fb52f48f","","https://missionshakti.wcd.gov.in/public/documents/whatsnew/874a0f9b-291f-4272-b22d-4126fb52f48f.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","8961766466867","2015","https://missionshakti.wcd.gov.in/public/documents/gbdocuments/8961766466867.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","About | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/about"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","About | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/about"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","Approved AWCC Sop","2023","https://missionshakti.wcd.gov.in/public/documents/whatsnew/Approved_AWCC_Sop.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Archive (OMs and Letters) | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/archive"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","BBBP Operational Manual","2025","https://missionshakti.wcd.gov.in/public/documents/whatsnew/BBBP_Operational_Manual.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","BBBP Public Insights | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/statisticsBBBP"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Book Appointment for OSC | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/appointmentBooking"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Budget Documents (State) | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/budget_documents_state"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Budget Documents (Union) | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/budget-documents-union"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Budget Documents | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/genderBudgeting_union_state_scheme"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","cae470f1 e9f5 41ec ae10 cad57d93dad5","2026","https://missionshakti.wcd.gov.in/public/documents/whatsnew/cae470f1-e9f5-41ec-ae10-cad57d93dad5.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","Charter Gender Budget Cell March 2007","","https://missionshakti.wcd.gov.in/public/new_web_design/img/gender-budgeting/pdf/Charter_Gender_Budget_Cell_March_2007.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Contact Us | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/contact"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Contact Us | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/contact_us"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Customize Cookies | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/cookie-settings"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Directory | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/directory"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","FAQ English","2022","https://missionshakti.wcd.gov.in/public/new_web_design/img/gender-budgeting/pdf/FAQ-English.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","FAQ Hindi","","https://missionshakti.wcd.gov.in/public/new_web_design/img/gender-budgeting/pdf/FAQ-Hindi.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Feedback/Grievance | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/feedbackForm"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Gallery | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gallery"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Gallery | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/gallery"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Gallery | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","http://missionshakti.wcd.gov.in/gender-budgeting/gallery?page=2"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Gallery | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","http://missionshakti.wcd.gov.in/gender-budgeting/gallery?page=3"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Gallery | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","http://missionshakti.wcd.gov.in/gender-budgeting/gallery?page=4"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Gallery | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","http://missionshakti.wcd.gov.in/gender-budgeting/gallery?page=1"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PDF","GB Handbook MWCD","2015","https://missionshakti.wcd.gov.in/public/new_web_design/img/gender-budgeting/pdf/GB_Handbook_MWCD.pdf"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","GB Instititional Mechanisms | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/gb-institutional-mechanisms"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","GB Scheme | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting/gb_scheme"
"Mission Shakti","Mission Shakti","missionshakti.wcd.gov.in","PAGE","Gender Budgeting | Mission Shakti | MINISTRY OF WOMEN & CHILD DEVELOPMENT | GOI","","https://missionshakti.wcd.gov.in/gender-budgeting"
